Reason_Theme,CiteKey,ID,Algo_Theme,DecisionTheme,Man_Theme,Match,Title,Year,PublicationTitle,Creators,Publisher,AffiliationCountry,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Num_Factors,F1,F2,F3,F4,F5,F6,F7,F8,F9,F1_THEME,F2_THEME,F3_THEME,F4_THEME,F5_THEME,F6_THEME,F7_THEME,F8_THEME,F9_THEME,NUM_FAC_NOTSIG,FNS1,FNS2,FNS3,FNS4,ResearchType,SampleSize,METHOD1,METHOD2,METHOD3,METHOD4,Tech,THEORY1,THEORY2,THEORY3,THEORY4,LIMIT1,LIMIT2,LIMIT3,Abstract
satisfaction,,p2_11,"social, psychological, market",social,"social, psychological",1,a model to analyze the effect of mobile banking adoption on customer interaction and satisfaction: a case study of m-banking in iran,2019,telematics and informatics,hodjat hamid,elsevier,iran,mobile banking adoption,customer interaction,customer relationship management ,crm,NA,NA,NA,NA,NA,NA,8,trst,pu,peou,socinf,fac_cond,hed_motiv,habt,price,,psychological,perceptive,perceptive,social,external,psychological,personal,external,,0,,,,,quantitative,402,sem,,,,mobile banking,utaut,utaut2,,,sample_size,,,"customer relationship management (crm) is always considered as an essential task for increasing customer satisfaction for mobile banking (m-banking), and it is, like other areas of marketing, constantly evolving and updating. also the vast use of the mobile banking by internet users, persuades electronic banking to use customer relationship management system in adoption m-banking. in this paper, the effects of using crm system in the adoption m-banking on customer satisfaction and interaction, which is considered as the most important factor in the success of banking industry, is analyzed. the case studies of this paper are iran top e-banks and the sample population chosen, are the customers of these banks, and a conceptual model is suggested to analyze the use of adoption of mobile banking on customer interaction and satisfaction. factors that are introduced as influencing variables in this model on the customer satisfaction and interaction are: affective commitment, trust, loyalty, willingness to re-visit, number of visits, profitability, and involvement. collecting information in this article is performed by completing 243 questionnaires by staff of the communication with customers sector of these banks and their customers. the results of the statistical analyses conducted on these data indicate that all the variables addressed in the model, have a positive impact on the customer relationship and satisfaction except the trust."
In agreement,,p2_12,"psychological, market, demographic",psychological,psychological,1,a study on factors affecting service quality and loyalty intention in mobile banking,2021,journal of retailing and consumer services,"qingji zhou, fong jie lim, han yu, gaoqian xu, xiaoyu ren, dan liu, xiangxin wang, xinda mai, hong xu",elsevier,singapore,customer satisfaction,behavioral intention,dominance analysis,systems success,consumer trust,mclean model,web site,adoption,utaut,antecedents,4,uidsg,sys_qual,sec_as,serv_qual,,,,,,external,external,external,external,,,,,,0,,,,,empirical,224,sem,,,,mobile banking,sqm,,,,question,sample,,"mobile banking (mb) is one of the most recent innovations for financial sectors which could have practical value to both users and banks. this study aims to explore the dimensions affecting mobile banking loyalty intention and examine their interrelationships and effects on service quality and loyalty. by referring to service quality model, customised factors affecting mobile banking service quality and loyalty intention were proposed. survey data were collected from 224 mobile banking users and were analysed based on structural equation modelling (sem). the results of sem analysis directly or indirectly highlight the importance of the interface design, system quality, security assurance and service quality in mobile banking loyalty intention. meanwhile, the implications of the findings on both theoretical and managerial are discussed, as well as the limitation of this study."
"could be both, but because it's literature review we will say extrinsic",,p2_13,"market, psychological, perceptive",market,"psychological, market",1,a systematic literature review of the role of trust and security on fintech adoption in banking,2024,heliyon,"johan ariff jafri, syajarul imna mohd amin, aisyah abdul rahman, shifa mohd nor",cell press,malaysia,use mobile banking,behavioral intention,consumer acceptance,online banking,unified theory,initial trust,services,internet,customers,impact,5,peex,trst,sec,pu,attd,,,,,personal,psychological,external,perceptive,,,,,,0,,,,,review,26,slr,,,,mobile banking,utaut2,,,,,,,"fintechs development has amplified cybercrime, prompting trust and security concerns in banking. while earlier research predominantly viewed fintech adoption through a tech-centric lens, emphasising its benefits, there is a paucity of studies on cognitive resistance arising from fintech controversies. this review synthesises previous fintech literature on behavioural intentions in banking, emphasising the role of trust, security, and other factors, and highlights existing research gaps. utilising the roses (reporting standards for systematic evidence syntheses) framework, a systematic literature review was conducted, analysing 26 articles from scopus and web of science (wos) databases (2009-2022). thematic analysis produces five primary themes (utaut2 variables; risk; trust; quality; and other), branching into 24 sub-themes. the weight analysis emphasises the best well-utilised predictors like performance expectancy, trust, security, perceived usefulness, and attitude. in addition, the review identifies research gaps and offers recommendations for future studies using the tccm (theory, context, constructs, and method) framework. this research provides insights to fintech companies and regulatory authorities on the preferred attributes of fintech services that can enhance their adoption within the banking sector."
utaut2 + in agreement,,p2_14,"personal, psychological, demographic",demographic,"demographic, psychological ",1,acceptance and use of mobile banking: an application of utaut2,2019,journal of enterprise information management,"kwame owusu kwateng,",emerald,ghana,ghana,adoption,mobile banking,utaut,NA,NA,NA,NA,NA,NA,3,habt,price,trst,,,,,,,personal,external,psychological,,,,,,,0,,,,,quantitative,300,sem,,,,mobile banking,utaut2,,,,,,,"purpose – mobile banking (m-banking) can be defined as a service offered by a bank or any other financial institution that allows the customers of such establishments to carry out a variety of banking operations via a mobile device, such as a mobile phone, tablet or personal digital assistant. the purpose of this paper is to examine factors that influence customers to adopt and subsequently use m-banking services in ghana using the unified theory of acceptance and use of technology 2 (utaut2) model with age, educational level, user experience and gender as moderators."
In agreement,,p2_15,"psychological, personal, cultural",cultural,cultural ,1,acceptance of mobile banking in islamic banks: evidence from,2019,journal of islamic marketing,syed ali raza,emerald,pakistan,pakistan,utaut2,m-banking,actual usage,NA,NA,NA,NA,NA,NA,6,peex,fac_cond,efex,pval,habt,hed_motiv,,,,personal,external,personal,perceptive,personal,psychological,,,,1,socinf,,,,quantitative,229,cfa,pls sem,,,mobile banking,utaut,,,,,,,"purpose – the purpose of this study is to examine the factors which affect mobile banking (m-banking) acceptance in islamic banks of pakistan by using the modiﬁed uniﬁed theory of acceptance and use of technology (utaut) model. the performance expectancy, facilitating conditions, social inﬂuence, effort expectancy, perceived value, habit and hedonic motivation are taken as independent variables. similarly, the intention to adopt m-banking is taken as the mediator, and actual usage is used as the dependent variable."
keywords,,p2_16,"market, psychological, perceptive",market,"perceptive, market",1,adoption intention of fintech services for bank users: an empirical examination with an extended technology acceptance model,2019,symmetry-basel,"zhongqing hu, shuai ding, shizheng li, luting chen, shanlin yang",mdpi,china,internet banking,mobile banking,online banking,perceived risk,consumer adoption,e-commerce,trust,systems,NA,NA,8,trst,brd_img,gov_sup,pu,innov,peou,intnt,attd,,psychological,external,external,perceptive,personal,perceptive,psychological,psychological,,1,prisk,,,,empirical,387,sem,,,,fintech in bank,tam,,,,incomp_fac,limit_scope,,"along with the development of fintech, many scholars have studied how information technology is applied to financial services with a focus on extended methods for application. few scholars have studied the influence mechanism behind the adoption of fintech services. this paper proposes an improved technology acceptance model (tam) that incorporates user innovativeness, government support, brand image, and perceived risk as determinants of trust to investigate how users adopt fintech services. we designed a questionnaire, sent it to active customers of the hefei science and technology rural commercial bank, and obtained 387 eligible responses. we analyzed the data with a structural equation model (sem) to test the hypotheses, including the relationships of all latent variables. the results reveal that users trust in fintech services has a very significant influence on users attitudes for adoption. in addition, perceived ease of use and perceived risk does not affect users attitudes toward the adoption regarding fintech services. this study contributes to the literature of the adoption of fintech services by providing a more comprehensive view of the determinants of users attitudes by combining trust of fintech services with tam."
In agreement,purohitAdoptionMobileBanking2023l,p2_17,"market, psychological, perceptive",market,"perceptive, market, demographic ",1,adoption of mobile banking at the bottom of the pyramid: an emerging,2023,international journal of emerging markets,sonal purohit,emerald,india,mobile banking,bottom of the pyramid ,structural equation modeling  ,emerging market,technology acceptance model,tam,sem,bop,NA,NA,6,pu,peou,prisk,pdet,sbj_nrm,know,,,,perceptive,perceptive,perceptive,perceptive,social,personal,,,,0,,,,,quantitative,332,sem,,,,mobile banking,tam,,,,,,,"purpose – this paper aims to investigate the factors that affect mobile banking adoption among the bottom of the pyramid (bop) group in an emerging market. design/methodology/approach – data were collected from 332 bank customers in the bop group through a questionnaire based on previously validated scales. structural equation modeling (sem) was applied using smartpls 2.0 to analyze the data. findings – it was found that perceived usefulness (pu) and perceived ease of use (peou) influence the attitude toward mobile banking positively whereas the perceived risk (pr) and perceived deterrents (pds) influence the attitude negatively. the subjective norms (sns) and the attitude positively affect mobile banking adoption. knowledge of mobile banking has a strong effect on the peou, but it does not influence the pu of mobile banking. originality/value – this research makes an original contribution to the extant research and fills the gap by exploring the factors that affect the mobile banking adoption among a distinct bop group (migrant workers) in an emerging market. the authors make use of knowledge of mobile banking and pds as novel and important constructs in the technology acceptance model (tam) to explore the factors that affect mobile banking adoption among the bop. keywords mobile banking, bottom of the pyramid (bop), structural equation modeling (sem), emerging market, technology acceptance model (tam)"
In agreement,,p2_18,"psychological, perceptive, personal",psychological,psychological,1,an analysis of factors affecting mobile banking adoption,2019,international journal of bank marketing,samer elhajjar,emerald,"lebanon, france",mobile banking,resistance to change,consumer behaviour,internet marketing,NA,NA,NA,NA,NA,NA,7,diglit,resist_chng,prisk,peou,pu,sbj_nrm,innov,,,personal,psychological,perceptive,perceptive,perceptive,social,personal,,,2,awar,compat,,,quantitative,320,sem,,,,mobile banking,tam,,,,,,,"purpose – the purpose of this paper is to develop a conceptual model that explains the most important factors affecting mobile banking adoption for lebanese banking customers. design/methodology/approach – based on the data collected through a survey, structural equations modeling and path analysis were utilized to test the hypotheses. in total, 320 questionnaires were collected from lebanese customers. findings – the results show that digital literacy, resistance to change, perceived risk, perceived ease of use, and perceived usefulness were found to be the main variables affecting users’ attitudes toward adoption of mobile banking, whereas awareness and compatibility showed no significant impact on adoption. in addition, both subjective norms and personal innovativeness influenced users’ adoption moderated the relationships between usefulness attitude and ease of use attitude. originality/value – the study fills a gap in the literature by exploring e-readiness influence on adoption through testing the variable “digital literacy” and by examining the effect of the frequency of branch visits on the intention to adopt mobile banking. social and individual variables, such as social influence and personal innovativeness, which were rarely examined in past studies, are employed in this research. all of our respondents were actual bank account holders."
In agreement,,p2_19,"demographic, psychological, personal",demographic,demographic ,1,"an empirical examination of the moderating role of age and gender in consumer mobile anking use: a cross-national, quantitative study",2021,journal of enterprise information management,mohamed merhi,emerald,"lebanon, england",culture,trust, cross-national research,mobile banking,security,privacy,NA,NA,NA,NA,8,trst,sec,priv,fac_cond,peex,efex,hed_motiv,price,,psychological,external,external,external,personal,personal,psychological,external,,0,,,,,empirical,897,sem,,,,mobile banking,utaut,utaut2,,,,,,"purpose- despite the benefits of mobile banking services in an increasingly digitised world, adoption rates remain unsatisfactory. the present cross-national study examines age- and genderdependent variations of consumer intentions and use of mobile banking services. design/methodology/approach- the study analyses consumer mobile banking use by integrating factors such as with trust, security and privacy and it examines the effects of these factors among two demographic factors including age and gender. 897 lebanese and british mobile banking users completed a survey. data was analysed by partial least squares-structural equations modelling. findings- consumer behavioural intention was significantly moderated by age through its relationship with facilitating conditions and trust among lebanese respondents, and performance expectancy, effort expectancy, hedonic motivation, price value, and habit among their british counterparts. as for gender, a significant moderating effect was evidenced in the lebanese, but not the british sample, on the level of performance expectancy, effort expectancy, facilitating conditions, price value and perceived security. originality/value- the findings provide evidence of the applicability of the new factors proposed in this research. the reflection of the influence of these demographic factors in a cross-national context provides insights into mobile banking adoption variation between different countries."
In agreement,saxenaEmpiricalStudyFacilitators2023k,p2_20,"psychological, personal, market",psychological,psychological,1,an empirical study on facilitators and inhibitors of adoption of mobile banking in india,2023,electronic commerce research,noopur saxena,springer,india,mobile banking,utaut ,tr,cognitive resistance,facilitators,inhibitors,india,NA,NA,NA,8,peex,efex,socinf,optim,innov,dis_comf,insec,cog_resist,,personal,personal,social,psychological,personal,psychological,psychological,psychological,,0,,,,,empirical,536,efa,sem,,,mobile banking,utaut,techred,,,no_long,sample,,"mobile banking liberates people from spatial and temporal constraints and delivers significant convenience but people are still hesitant to use mobile banking. the purpose of this study is to examine the most important factors influencing and impeding consumer adoption of mobile banking. this study uses unified theory of acceptance and use of technology (utaut) and technology readiness (tr) as a theoretical basis and integrates it with cognitive resistance to propose a conceptual model for m-banking adoption in india. data was collected from 536 mobile banking customers from delhi/ncr, using convenience sampling and was analysed using structural equation modelling. the findings revealed that the impact of facilitating factors namely, performance expectancy, effort expectance, social influence, optimism and innovativeness on behavioural intention to use m-banking is much more than the impact of inhibiting factors namely, discomfort, insecurity and cognitive resistance and also that behavioral intention has a significant impact on adoption of m-banking. in examining the relationship between facilitating factors and behavioral intention, there is no substantial moderation impact of age groups. however, gender moderated the relationship between effort expectancy and behavioral intention, as well as the relationship between optimism and behavioral intention. this research would help policymakers to understand and overcome the reluctance and barriers of adoption and would result in ensuring more adoption of advanced technological channels."
In agreement,sharmaEraDigitalizationMobile2023k,p2_21,"psychological, perceptive, cultural",psychological,"psychological, cultural",1,an era of digitalization: mobile banking adoption in india,2023,journal of science and technology policy management,shweta sharma,emerald,india,tam,mobile banking,adoption,acceptance,intention,behavioral pattern,attitude,NA,NA,NA,4,peou,pu,compat,prisk,,,,,,perceptive,perceptive,external,perceptive,,,,,,0,,,,,quantitative,143,pca,cfa,,,mobile banking,tam,,,,sample_size,loc_specific,,"purpose – this study aims to identify the critical factors that can explain the intention of customers to adopt mobile banking services (mbss) in an emerging country like india. further, this study analyzes the difference in mobile banking adoption between males and females. design/methodology/approach – this study uses a self-structured questionnaire to collect data on a sample of 143 respondents. on the contrary, qualitative research was conducted to test the reliability of results from the past literature by a hypothetical study. findings – this study identified four components, perceived ease of use, perceived usefulness, compatibility and perceived risk, using principal component analysis and confirmatory factor analysis, significantly influencing the intention to adopt mbs in india. however, the chi-square test reflected a negligible percentage difference in mbs among males and females. research limitations/implications – the findings of this study have significant implications for both bankers and practitioners, as they can redesign their strategies by incorporating the parameters suggested in the study for better market penetration in the mobile banking industry. originality/value – this paper provides visions into factors influencing the behavior of banking users toward adopting new technology in an emerging country like india. this study adds to the past literature by exploring the difference in the percentage of mobile banking usage based on gender."
